brand,model,fuel,no of owner,yrs,transmission,kms,prices
Audi,Q3,Diesel,2nd,2013.0,Manual,"52,300","9,70,000"
Audi,Q7,Diesel,2nd,2011.0,Automatic,"63,000","16,25,000"
Audi,A6,Diesel,2nd,2013.0,Automatic,"88,800","16,50,000"
Audi,Q5,Diesel,2nd,2011.0,Automatic,"118,000","14,50,000"
Audi,A6,Diesel,2nd,2013.0,Automatic,"91,300","13,50,000"
Audi,A6,Petrol,1st,2020.0,Automatic,0,"15,000"
,,,,,,"65,000","26,00,000"
Audi,A4,Diesel,1st,2013.0,Automatic,"56,000","10,90,000"
Audi,Q7,Diesel,3rd,2008.0,Automatic,"105,000","9,00,000"
Audi,A4,Diesel,1st,2015.0,Automatic,"84,000","20,00,000"
Audi,A3,Diesel,2nd,2014.0,Automatic,"85,000","15,000"
Audi,A8 L,Petrol,2nd,2012.0,Automatic,"47,000","45,50,000"
Audi,A6,Diesel,3rd,2012.0,Automatic,"74,000","11,00,000"
Audi,Q3,Diesel,1st,2013.0,Automatic,"101,000","15,25,000"
Audi,A6,Diesel,1st,2012.0,Automatic,"72,000","12,75,000"
Audi,A6,Petrol,,2021.0,Automatic,"1,879","59,00,000"
Audi,A6,Diesel,1st,2013.0,Automatic,"66,000","14,25,111"
Audi,A6,Diesel,1st,2016.0,Automatic,"69,000","25,50,000"
Audi,Q7,Diesel,2nd,2011.0,Automatic,"89,000","15,25,000"
Audi,Q7,Diesel,1st,2016.0,Automatic,"19,000","55,00,000"
Audi,A6,Diesel,1st,2012.0,Automatic,"50,000","15,15,000"
Audi,A6,Diesel,2nd,2014.0,Automatic,"45,000","23,00,000"
,,,,,,"65,000","28,50,000"
Audi,Q3,Diesel,2nd,2015.0,Automatic,"68,000","17,75,000"
Audi,Q5,Diesel,1st,2015.0,Automatic,"60,000","18,50,000"
Audi,A4,Diesel,1st,2012.0,Automatic,"92,000","14,00,000"
Audi,A4,Diesel,2nd,2014.0,Automatic,"87,000","12,99,000"
Audi,S5,Petrol,2nd,2018.0,Automatic,"20,000","58,00,000"
Audi,Q3,Diesel,2nd,2014.0,Automatic,"119,000","17,50,000"
Audi,Q7,Diesel,1st,2011.0,Automatic,"79,000","18,00,000"
Audi,S5,Petrol,2nd,2018.0,Automatic,"20,000","58,00,000"
Audi,Q3,Diesel,2nd,2013.0,Automatic,"77,000","13,50,000"
Audi,A3,Diesel,2nd,2014.0,Automatic,"87,000","14,50,000"
Audi,A6,Diesel,1st,2013.0,Automatic,"88,000","13,49,999"
Audi,A6,Diesel,1st,2013.0,Automatic,"70,000","12,50,000"
Audi,Q5,Diesel,1st,2015.0,Automatic,"108,000","21,00,000"
Audi,Q3,Diesel,2nd,2014.0,Automatic,"69,000","14,00,000"
Audi,A3,Diesel,1st,2014.0,Automatic,"26,000","14,99,999"
Audi,A4,Diesel,1st,2018.0,Automatic,"16,500","37,50,000"
Audi,A4,Diesel,1st,2012.0,Manual,"56,000","10,50,000"
Audi,Q7,Diesel,4+,2009.0,Automatic,"117,000","13,00,000"
Audi,A4,Diesel,2nd,2013.0,Automatic,"61,000","13,00,000"
Audi,A3,Diesel,2nd,2015.0,Automatic,"91,000","15,95,000"
Audi,Q3,Diesel,1st,2013.0,Automatic,"75,000","17,00,000"
Audi,A4,Diesel,1st,2016.0,Automatic,"55,300","23,00,000"
Audi,A4,Petrol,1st,2011.0,Automatic,"69,000","10,00,000"
Audi,A6,Diesel,1st,2011.0,Automatic,"100,000","8,00,000"
Audi,A6,Diesel,1st,2012.0,Automatic,"70,000","12,25,000"
Audi,Q3,Diesel,2nd,2014.0,Manual,"100,000","13,00,000"
Audi,A6,Diesel,1st,2013.0,Automatic,"55,000","14,55,000"
Audi,A6,Diesel,2nd,2015.0,Automatic,"75,000","20,00,000"
Audi,Q7,Diesel,1st,2015.0,Automatic,"75,000","24,00,000"
Audi,Q3,Diesel,1st,2012.0,Automatic,"77,000","14,50,000"
Audi,Q3,Diesel,3rd,2015.0,Automatic,"122,000","22,00,000"
Audi,A4,Diesel,2nd,2011.0,Automatic,"73,000","6,80,000"
Audi,Q5,Diesel,2nd,2014.0,Automatic,"55,656","16,50,000"
Audi,A6,Diesel,1st,2012.0,Automatic,"48,000","19,50,000"
Audi,A6,Diesel,1st,2007.0,Automatic,"91,253","5,25,000"
Audi,A4,Diesel,2nd,2012.0,Automatic,"100,000","10,50,000"
Audi,TT,Petrol,1st,2015.0,Automatic,"21,900","39,55,000"
Audi,A4,Diesel,2nd,2009.0,Automatic,"91,600","9,75,000"
Audi,A3,Diesel,2nd,2015.0,Automatic,"151,000","14,00,000"
Audi,A4,Diesel,1st,2011.0,Automatic,"75,000","9,45,000"
Audi,A4,Diesel,1st,2013.0,Automatic,"52,000","13,20,000"
Audi,Q5,Diesel,1st,2017.0,Automatic,"34,127","43,50,000"
Audi,A6,Diesel,1st,2012.0,Automatic,"72,000","12,25,000"
Audi,A6,Diesel,1st,2012.0,Automatic,"72,000","12,75,000"
Audi,Q3,Petrol,1st,2018.0,Automatic,"39,000","28,75,000"
Audi,A6,Diesel,2nd,2013.0,Automatic,"76,000","16,50,000"
Audi,A4,Diesel,2nd,2012.0,Automatic,"85,000","12,90,000"
Audi,Q3,Diesel,2nd,2014.0,Automatic,"137,000","15,50,000"
Audi,Q5,Diesel,1st,2013.0,Automatic,"92,000","16,50,000"
Audi,A4,Diesel,1st,2014.0,Automatic,"73,000","11,95,000"
Audi,Q5,Diesel,,2018.0,Automatic,"30,000","45,00,000"
Audi,A6,Diesel,2nd,2012.0,Automatic,"75,000","13,40,000"
Audi,A6,Diesel,3rd,2012.0,Automatic,"75,000","13,50,000"
Audi,A4,Petrol,,2015.0,Automatic,"76,546","16,50,000"
Audi,A6,Diesel,2nd,2012.0,Automatic,"77,000","16,50,000"
Audi,Q5,Diesel,1st,2012.0,Automatic,"158,555","14,70,000"
Audi,A4,Diesel,1st,2011.0,Automatic,"52,000","9,25,000"
Audi,A4,Diesel,1st,2013.0,Automatic,"105,000","13,00,000"
Audi,A6,Petrol,1st,2021.0,Automatic,"5,000","55,00,000"
